Country;Happiness.Score;Generosity;
Lebanon;522.499.990.463.257;0.264450758695602;
Portugal;519.500.017.166.138;0.0951027125120163;
Bosnia and Herzegovina;518.200.016.021.729;0.328867495059967;
Honduras;518.100.023.269.653;0.236188873648643;
Macedonia;517.500.019.073.486;0.25376096367836;
Somalia;515.100.002.288.818;0.291631311178207;
Vietnam;507.399.988.174.438;0.234968051314354;
Nigeria;507.399.988.174.438;0.230947196483612;
Tajikistan;504.099.988.937.378;0.248997643589973;
Bhutan;501.100.015.640.259;0.474054545164108;
Kyrgyzstan;500.400.018.692.017;0.42858037352562;
Nepal;496.199.989.318.848;0.394096165895462;
Mongolia;495.499.992.370.605;0.338464230298996;
South Africa;48.289.999.961.853;0.139362379908562;
Tunisia;480.499.982.833.862;0.0496933571994305;
Palestinian Territories;477.500.009.536.743;0.114173173904419;
Egypt;47.350.001.335.144;0.128631442785263;
Bulgaria;471.400.022.506.714;0.113177694380283;
Sierra Leone;470.900.011.062.622;0.293040901422501;
Cameroon;469.500.017.166.138;0.236298456788063;
Iran;469.199.991.226.196;0.387242913246155;
Albania;464.400.005.340.576;0.201312944293022;
Bangladesh;460.799.980.163.574;0.172255352139473;
Namibia;457.399.988.174.438;0.0771337449550629;
Kenya;455.299.997.329.712;0.444860309362411;
Mozambique;455.000.019.073.486;0.322228103876114;
Myanmar;454.500.007.629.395;0.838075160980225;
Senegal;453.499.984.741.211;0.183468893170357;
Zambia;451.399.993.896.484;0.249580144882202;
Iraq;449.700.021.743.774;0.19963726401329;
Gabon;446.500.015.258.789;0.0437853783369064;
Ethiopia;446.000.003.814.697;0.312650740146637;
Sri Lanka;444.000.005.722.046;0.490863561630249;
Armenia;437.599.992.752.075;0.0834880918264389;
India;431.500.005.722.046;0.231538489460945;
Mauritania;429.199.981.689.453;0.201870024204254;
Congo (Brazzaville);429.099.988.937.378;0.120852127671242;
Georgia;428.599.977.493.286;0.0540088154375553;
Congo (Kinshasa);428.000.020.980.835;0.246455833315849;
Mali;419.000.005.722.046;0.183354198932648;
Ivory Coast;417.999.982.833.862;0.201237469911575;
Cambodia;416.800.022.125.244;0.385922968387604;
Sudan;413.899.993.896.484;0.182317450642586;
Ghana;411.999.988.555.908;0.256923943758011;
Ukraine;409.600.019.454.956;0.270061463117599;
Uganda;408.099.985.122.681;0.325766056776047;
Burkina Faso;403.200.006.484.985;0.250864684581757;
Niger;402.799.987.792.969;0.228673845529556;
Malawi;397.000.002.861.023;0.287170469760895;
Chad;393.600.010.871.887;0.216113850474358;
Zimbabwe;3.875;0.189143493771553;
Lesotho;380.800.008.773.804;0.157497271895409;
Angola;379.500.007.629.395;0.097926490008831;
Afghanistan;379.399.991.035.461;0.311870932579041;
Botswana;376.600.003.242.493;0.0993484482169151;
Benin;365.700.006.484.985;0.207948461174965;
Madagascar;364.400.005.340.576;0.208732530474663;
Haiti;36.029.999.256.134;0.489203780889511;
Yemen;359.299.993.515.015;0.104125209152699;
South Sudan;359.100.008.010.864;0.285670816898346;
Liberia;353.299.999.237.061;0.26654988527298;
Guinea;350.699.996.948.242;0.264815092086792;
Togo;349.499.988.555.908;0.196896150708199;
Rwanda;347.099.995.613.098;0.252756029367447;
Syria;346.199.989.318.848;0.493663728237152;
Tanzania;334.899.997.711.182;0.354256361722946;
Burundi;290.499.997.138.977;0.204435184597969;
Central African Republic;269.300.007.820.129;0.280876487493515;
